mil_method,pooling_mode,metric,rep,epochs,file
CAP_MI_NET,max,mae,0,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=0_metrics.csv
CAP_MI_NET,max,mae,1,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=1_metrics.csv
CAP_MI_NET,max,mae,2,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=2_metrics.csv
CAP_MI_NET,max,mae,3,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=3_metrics.csv
CAP_MI_NET,max,mae,4,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=4_metrics.csv
CAP_MI_NET,max,mae,5,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=5_metrics.csv
CAP_MI_NET,max,mae,6,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=6_metrics.csv
CAP_MI_NET,max,mae,7,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=7_metrics.csv
CAP_MI_NET,max,mae,8,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=8_metrics.csv
CAP_MI_NET,max,mae,9,150,tma__mil=cap-mi-net_pool=max_metric=mae_rep=9_metrics.csv
CAP_MI_NET,max,accuracy,0,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=0_metrics.csv
CAP_MI_NET,max,accuracy,1,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=1_metrics.csv
CAP_MI_NET,max,accuracy,2,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=2_metrics.csv
CAP_MI_NET,max,accuracy,3,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=3_metrics.csv
CAP_MI_NET,max,accuracy,4,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=4_metrics.csv
CAP_MI_NET,max,accuracy,5,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=5_metrics.csv
CAP_MI_NET,max,accuracy,6,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=6_metrics.csv
CAP_MI_NET,max,accuracy,7,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=7_metrics.csv
CAP_MI_NET,max,accuracy,8,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=8_metrics.csv
CAP_MI_NET,max,accuracy,9,150,tma__mil=cap-mi-net_pool=max_metric=accuracy_rep=9_metrics.csv
MI_ATTENTION,,mae,0,150,tma__mil=mi-attention_pool=None_metric=mae_rep=0_metrics.csv
MI_ATTENTION,,mae,1,150,tma__mil=mi-attention_pool=None_metric=mae_rep=1_metrics.csv
MI_ATTENTION,,mae,2,150,tma__mil=mi-attention_pool=None_metric=mae_rep=2_metrics.csv
MI_ATTENTION,,mae,3,150,tma__mil=mi-attention_pool=None_metric=mae_rep=3_metrics.csv
MI_ATTENTION,,mae,4,150,tma__mil=mi-attention_pool=None_metric=mae_rep=4_metrics.csv
MI_ATTENTION,,mae,5,150,tma__mil=mi-attention_pool=None_metric=mae_rep=5_metrics.csv
MI_ATTENTION,,mae,6,150,tma__mil=mi-attention_pool=None_metric=mae_rep=6_metrics.csv
MI_ATTENTION,,mae,7,150,tma__mil=mi-attention_pool=None_metric=mae_rep=7_metrics.csv
MI_ATTENTION,,mae,8,150,tma__mil=mi-attention_pool=None_metric=mae_rep=8_metrics.csv
MI_ATTENTION,,mae,9,150,tma__mil=mi-attention_pool=None_metric=mae_rep=9_metrics.csv
MI_ATTENTION,,accuracy,0,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=0_metrics.csv
MI_ATTENTION,,accuracy,1,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=1_metrics.csv
MI_ATTENTION,,accuracy,2,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=2_metrics.csv
MI_ATTENTION,,accuracy,3,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=3_metrics.csv
MI_ATTENTION,,accuracy,4,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=4_metrics.csv
MI_ATTENTION,,accuracy,5,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=5_metrics.csv
MI_ATTENTION,,accuracy,6,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=6_metrics.csv
MI_ATTENTION,,accuracy,7,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=7_metrics.csv
MI_ATTENTION,,accuracy,8,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=8_metrics.csv
MI_ATTENTION,,accuracy,9,150,tma__mil=mi-attention_pool=None_metric=accuracy_rep=9_metrics.csv
